"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","12","9","56","162","5","5.2","203.018","7.568","751.187","713.01"
"1","12","10","75","240","6.7","3.6","308.397","12.637","1120.221","1072.465"
"1","12","11","333","257","8.3","1.5","563.045","23.926","1942.622","1869.344"
"1","12","12","659","160","9.4","3.1","765.944","27.342","2601.104","2503.236"
"1","12","13","531","213","10","1.5","699.84","31.089","2333.865","2246.422"
"1","12","14","319","201","10","2.1","470.532","23.031","1627.222","1564.413"
"1","12","15","525","137","10.6","0","492.908","31.163","1620.871","1558.264"
"1","12","16","200","105","10","3.1","210.431","14.645","734.304","696.538"
"1","12","17","50","35","9.4","3.6","54.399","9.463","189.744","163.915"
"1","12","18","0","0","7.2","2.6","0","7.2","0","0"
"1","12","19","0","0","7.2","3.1","0","7.2","0","0"
"1","12","20","0","0","6.7","2.6","0","6.7","0","0"
"1","12","21","0","0","2.8","1","0","2.8","0","0"
"1","12","22","0","0","0.6","2.1","0","0.6","0","0"
"1","12","23","0","0","-0.6","2.1","0","-0.6","0","0"
"1","13","0","0","0","0","2.1","0","0","0","0"
"1","13","1","0","0","-0.6","2.1","0","-0.6","0","0"
"1","13","2","0","0","0","1.5","0","0","0","0"
"1","13","3","0","0","-0.6","2.1","0","-0.6","0","0"
"1","13","4","0","0","-0.6","0","0","-0.6","0","0"
"1","13","5","0","0","0","2.1","0","0","0","0"
"1","13","6","0","0","0","1.5","0","0","0","0"
"1","13","7","0","16","0.6","0","15.322","-2.355","59.483","36.135"
"1","13","8","2","72","2.8","1.5","73.73","2.693","279.872","252.242"
"1","13","9","1","112","6.1","2.6","110.293","7.225","411.025","380.65"
"1","13","10","12","188","8.3","2.1","195.434","12.003","712.993","675.741"
"1","13","11","10","293","9.4","3.1","306.087","15.569","1099.485","1052.298"
"1","13","12","7","286","9.4","3.6","294.421","15.253","1059.155","1013.064"
"1","13","13","3","262","9.4","3.1","265.398","14.849","956.497","913.134"
"1","13","14","4","151","9.4","3.6","150.105","11.825","548.253","514.849"
"1","13","15","3","108","9.4","2.6","106.277","10.686","390.03","360.105"
"1","13","16","0","63","8.9","2.6","60.361","8.853","223.399","196.906"
"1","13","17","0","20","8.3","2.6","18.959","7.021","70.73","47.174"
"1","13","18","0","0","8.3","2.6","0","8.3","0","0"
"1","13","19","0","0","8.3","2.6","0","8.3","0","0"
"1","13","20","0","0","8.3","3.1","0","8.3","0","0"
"1","13","21","0","0","8.3","2.6","0","8.3","0","0"
"1","13","22","0","0","8.3","2.6","0","8.3","0","0"
"1","13","23","0","0","8.9","3.1","0","8.9","0","0"
"1","14","0","0","0","8.3","3.1","0","8.3","0","0"
"1","14","1","0","0","8.9","2.1","0","8.9","0","0"
"1","14","2","0","0","8.3","3.1","0","8.3","0","0"
"1","14","3","0","0","7.8","3.6","0","7.8","0","0"
"1","14","4","0","0","7.8","3.1","0","7.8","0","0"
"1","14","5","0","0","7.2","3.1","0","7.2","0","0"
"1","14","6","0","0","6.1","1.5","0","6.1","0","0"
"1","14","7","120","11","3.9","1.5","40.402","2.787","124.703","100.132"
"1","14","8","624","28","8.9","6.7","260.514","12.074","845.408","804.896"
"1","14","9","838","42","10.6","7.7","518.886","17.657","1783.458","1715.569"
"1","14","10","917","54","13.3","10.3","720.752","21.866","2489.063","2395.639"
"1","14","11","956","61","15","7.7","856.692","27.66","2899.042","2788.834"
"1","14","12","973","64","15.6","8.8","917.871","28.167","3103.763","2984.638"
"1","14","13","978","63","17.2","7.2","903.751","31.387","3007.312","2892.432"
"1","14","14","951","57","18.3","9.3","798.683","28.874","2679.575","2578.531"
"1","14","15","890","47","17.8","7.2","619.99","27.397","2065.655","1988.063"
"1","14","16","758","34","16.7","5.7","383.939","23.33","1242.34","1191.159"
"1","14","17","373","19","13.9","4.1","122.498","15.859","359.509","330.23"
"1","14","18","0","0","10.6","3.1","0","10.6","0","0"
"1","14","19","0","0","7.2","3.1","0","7.2","0","0"
"1","14","20","0","0","6.1","4.1","0","6.1","0","0"
"1","14","21","0","0","5.6","5.2","0","5.6","0","0"
"1","14","22","0","0","3.9","4.1","0","3.9","0","0"
"1","14","23","0","0","3.9","4.1","0","3.9","0","0"
